text
HAHAHAHAHAH TERNYATA PAKETNYA RUSAK🤣 DAHLAH gausah pake anteraja wkwkwkwkwk ok? ok!! https://t.co/CCIPqh8e42
"@TokopediaCare min tolong cek DM dong, saya ada kendala, jadi penjual setuju utk return pembelian saya karna brg yg di kirim rusak utk gnti yg baru, saat saya retur pilih kurir anteraja, karna kurir tdk pickup paket akhirnya saya ke kurir sicepat taro paket dan mau gnti kurir min"
@anteraja_id Kemarin² aku pake anteraja huhu mantappp
"@miepajakenak @anteraja_id iyaaa padahal aku order di desember juga, kalo @sicepat_ekspres emang aku blm pernah ada kendala apa apa sih aman aja huft luckyyy youuu"
"@miepajakenak Hai Kak, Ada yang bisa kami bantu Kak ? Terkait kendalanya yuk infoin nomor resinya melalui DM. Kami tunggu ya. Terima kasih ^YH"
@bittakuchi @anteraja_id tapi km pake tokped gratis ongkirnya masih anteraja ya? soalnya desember ini aku udah dapet sicepat terus sih
"@miepajakenak @anteraja_id ih kesel banget kalo misalnya dibedain kenapa ga ada warning dari awal ya kalo gratong tuh akan sampe lebih lama gt kek apa gmn, trus kalo gamau anter cepet gitu harusnya gausah lah ikutan promo gratong, HHHH marah😭"
"RT @indopremier: Terdeteksi kenaikan frekuensi dan value pada saham $ASSA.

Pada Q3 2021, segmen @anteraja_id milik ASSA berhasil mencatatk…"
"@bittakuchi @anteraja_id pake gratis ongkir ya? soalnya pelayanan kalo bayar biasa sama dapet potongan ongkir beda sih, cuma gatau moga aja kasusnya cepet selese"
"@anteraja_id Asli, pake anteraja pengiriman jadi cepat dan tepat. Jadi, gak perlu khawatir lagi deh kalo mau kirim"" barang ke luar kota"
"@anteraja_id iya dibales dulu dm nya, org dm nya aja gadibales🤣"
"@bittakuchi Selamat siang Kak Salcabiya, sebelumnya kami mohon maaf atas kendalanya ya Kak, agar kami dapat membantu Kakak, mohon lampirkan nomor resi paketnya via DM ya Kak agar kami dapat melakukan pengecekan lebih lanjut. Terima kasih Kak. ^FH"
"@tokopedia @ShopeeID kalo masih kerjasama sama @anteraja_id dijamin nyesel, pelanggan paketnya dimacetin trossssss hahaha"
"@bittakuchi Hai kak Salcabiya, apakah ada yang dapat kami bantu terkait pengirimannya? terkait kendalanya yuk infoin nomor resinya melalui DM. Kami tunggu ya. ^Ayu"
"@sellkpopfess sicepat, anteraja langsung pickup tanpa nge wa kurir"
GUYS ATI ATI JANGAN PAKE EKSPEDISI @anteraja_id UDAH TERBUKTI AKU DAN TEMEN AKU MEMPERCAYAKAN ANTERAJA BUAT KIRIM BARANG TAPI PERCUMA TERNYATA GABISA DIPERCAYA!
@sellkpopfess kalo aku anteraja
@sellkpopfess aku pake anteraja hrus di wa sih buat pickup klo ga diwa ga di pickup:(
@sellkpopfess anteraja omg debest walau kdg rese
"@Agil77 Hai kak, mohon maaf atas kendalanya, untuk paket kakak saat ini akan kami buatkan pelaporan proses investigasi oleh tim resolusi kami, Mohon kesediaannya untuk menunggu prosesnya 3x24 jam terlebih dahulu ya kak. Terima Kasih ^Ayu"
"@anteraja_id Paket belum diterima tetapi status sudah diterima, resi awb10003229873873"
"@anteraja_id Gw kasih 3 kata deh, cepet, amanah, keren"
"@anteraja_id anteraja emang mantap banget, memudahkan banget soalnya bisa pickup jadi tinggal tunggu di rumah sambil ngopi wkwkwkw"
